"Word","Sentiment","ScoreMixed","ScoreNegative","ScoreNeutral","ScorePositive"
"unusual","NEUTRAL","0.1266166","0.08471925","0.6794612","0.1092029"
"upset","NEGATIVE","5.816738E-05","0.9992363","0.0006327099","7.275695E-05"
"uptight","NEUTRAL","0.001136861","0.01812699","0.9415181","0.03921801"
"vast","NEUTRAL","0.08938535","0.1412255","0.6310641","0.1383251"
"victorious","POSITIVE","0.007488438","0.002053165","0.1484665","0.8419919"
"vivacious","POSITIVE","0.0004442523","0.001533518","0.02370148","0.9743208"
"wandering","NEUTRAL","0.0001342208","0.03485728","0.9594525","0.005556031"
"weary","NEGATIVE","0.2963354","0.4537662","0.204904","0.04499443"
"wicked","MIXED","0.6181904","0.08030937","0.1180351","0.183465"
"wide-eyed","NEGATIVE","0.1892808","0.4355507","0.3323984","0.04277025"
"wild","NEUTRAL","0.009178346","0.009500499","0.9461759","0.03514535"
"witty","POSITIVE","0.04145634","0.06033495","0.3614021","0.5368066"
"worried","NEGATIVE","0.06931905","0.7468219","0.1742219","0.009637102"
"worrisome","NEGATIVE","9.899401E-06","0.9992571","0.0006359034","9.711018E-05"
"wrong","MIXED","0.8005008","0.1272871","0.04182313","0.03038899"
"zany","NEUTRAL","7.498038E-06","0.00267907","0.9942846","0.003028922"
"zealous","NEGATIVE","0.08325268","0.594775","0.2655637","0.05640872"
